Path *,Title *,Source ID,Description,Author,Language,License ID *,License Description,Copyright Holder,Thumbnail
Professional-Development-Parents/Life-Skills,Life Skills,Life Skills,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills-thumb.png
Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill,Cyber Crime Parents Life Skill,Cyber Crime Parents Life Skill,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill.png
Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill/Activity.pdf,Activity ,Activity ,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/act-thumb.png
Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill/Guidelines.pdf,Guidelines,Guidelines,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/gl-thumb.png
Professional-Development-Parents/Life-Skills/Cyber-Crime-Parents-Life-Skill/Session.zip,Session,Session,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/sess-thumb.png
Professional-Development-Parents/Life-Skills/Deaf-Culture-Parents,Deaf Culture Parents,Deaf Culture Parents,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/Deaf-Culture-Parents.png
Professional-Development-Parents/Life-Skills/Deaf-Culture-Parents/Activity.pdf,Activity ,Activity ,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/act-thumb.png
Professional-Development-Parents/Life-Skills/Deaf-Culture-Parents/Session.zip,Session,Session,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/sess-thumb.png
Professional-Development-Parents/Life-Skills/Smart-Health-Choices-For-Families,Smart Health Choices For Families,Smart Health Choices For Families,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/Smart-Health-Choices-For-Families.png
Professional-Development-Parents/Life-Skills/Smart-Health-Choices-For-Families/Activity1.pdf,Activity Flashcards,Activity Flashcards,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/act-thumb.png
Professional-Development-Parents/Life-Skills/Smart-Health-Choices-For-Families/Activity2.pdf,Activity,Activity,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/act-thumb.png
Professional-Development-Parents/Life-Skills/Smart-Health-Choices-For-Families/Session.zip,Session,Session,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/Life-Skills/sess-thumb.png
Professional-Development-Parents/PSL-Parents,PSL Parents,PSL Parents,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents-thumb.png
Professional-Development-Parents/PSL-Parents/Cyber-Crime,Cyber Crime,Cyber Crime,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Cyber-Crime.png
Professional-Development-Parents/PSL-Parents/Cyber-Crime/Activity.pdf,Activity,Activity,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/act-thumb.png
Professional-Development-Parents/PSL-Parents/Cyber-Crime/Guidelines.pdf,Guidelines,Guidelines,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/gl-thumb.png
Professional-Development-Parents/PSL-Parents/Cyber-Crime/Session.zip,Session,Session,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/sess-thumb.png
Professional-Development-Parents/PSL-Parents/Lets-Learn-Sign-Language-Together,Let's Learn Sign Language Together,Let's Learn Sign Language Together,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Lets-Learn-Sign-Language-Together.png
Professional-Development-Parents/PSL-Parents/Lets-Learn-Sign-Language-Together/Session.zip,Session,Session,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/sess-thumb.png
Professional-Development-Parents/PSL-Parents/Smart-Health-Choices-For-Families,Smart Health Choices For Families,Smart Health Choices For Families,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/Smart-Health-Choices-For-Families.png
Professional-Development-Parents/PSL-Parents/Smart-Health-Choices-For-Families/Activity.pdf,Activity,Activity,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/act-thumb.png
Professional-Development-Parents/PSL-Parents/Smart-Health-Choices-For-Families/Session.zip,Session,Session,,Deaf Reach,en,CC BY,,Deaf Reach,Professional-Development-Parents/PSL-Parents/sess-thumb.png
