Path *,Title *,Source ID,Description,Author,Language,License ID *,License Description,Copyright Holder,Thumbnail
sample-csv-channel-root/contentnodes,contentnodes,0,Put folder description here,Deaf Reach,en,,,Deaf Reach,
sample-csv-channel-root/contentnodes/audio,audio,1,Put folder description here,Deaf Reach,en,,,Deaf Reach,
sample-csv-channel-root/contentnodes/audio/Whale_sounds.mp3,Whale sounds,2,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,
sample-csv-channel-root/contentnodes/document,document,3,Put folder description here,Deaf Reach,en,,,Deaf Reach,
sample-csv-channel-root/contentnodes/document/commonlit_the-supreme-court-s-ruling-in-brown-vs-board-of-education_student.pdf,commonlit the supreme court s ruling in brown vs board of education student,4,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,
sample-csv-channel-root/contentnodes/html5,html5,5,Put folder description here,Deaf Reach,en,,,Deaf Reach,
sample-csv-channel-root/contentnodes/html5/html5_react.zip,html5 react,6,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,sample-csv-channel-root/contentnodes/html5/html5_react-thumb.jpg
sample-csv-channel-root/contentnodes/html5/html5_vuejs.zip,html5 vuejs,7,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,sample-csv-channel-root/contentnodes/html5/html5_vuejs-thumb.jpg
sample-csv-channel-root/contentnodes/html5/html5_wget_scraped.zip,html5 wget scraped,8,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,sample-csv-channel-root/contentnodes/html5/html5_wget_scraped-thumb.jpg
sample-csv-channel-root/contentnodes/video,video,9,Put folder description here,Deaf Reach,en,,,Deaf Reach,
sample-csv-channel-root/contentnodes/video/Wave_particle_duality.mp4,Wave particle duality,10,Put folder description here,Deaf Reach,en,CC BY,,Deaf Reach,
